ColunaDoGrupo,ColunaDoNomeDoProduto,ColunaDoCodigo,ColunaDoPreco,ColunaDaDescricaoOpcional,ColunaComplementoSN,descricaoComplemento,ordem,min,max,itemDescricao,itemDescComp,itemCodigo,itemValor
BEBIDAS,ÁGUA C/ GÁS,3594019,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,ÁGUA S/ GÁS,3594017,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,COCA-COLA,3594025,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,COCA ZERO,3594024,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,DEL VALLE PÊSSEGO,3594030,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,DEL VALLE UVA,3594029,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,FANTA LARANJA,3594026,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,GUARANÁ,3594022,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,GUARANÁ ZERO,3594023,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,HEINEKEN,3594032,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,HEINEKEN ZERO,3594034,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,SPRITE,3594028,"R$ 0,00",,N,,0,,,,,,
BEBIDAS,TÔNICA,3594021,"R$ 0,00",,N,,0,,,,,,
MASSAS DA CASA,BOLONHESA,3594036,"R$ 0,00",,N,,0,,,,,,
MASSAS DA CASA,CAMARÃO AO MOLHO (ESCOLHA: SUGO OU QUEIJO),3594038,"R$ 0,00",,N,,0,,,,,,
MASSAS DA CASA,CAMARÃO CAPRESE,3594039,"R$ 0,00",,N,,0,,,,,,
MASSAS DA CASA,FRANGO C/ QUEIJO E BRÓCOLIS,3594037,"R$ 0,00",,N,,0,,,,,,
MASSAS DA CASA,MASSA DO LIKO,3594041,"R$ 0,00",,N,,0,,,,,,
MASSAS DA CASA,NHOQUE À BOLONHESA,3594043,"R$ 0,00",,N,,0,,,,,,
MASSAS DA CASA,NHOQUE À MATRICIANA (CALABRESA),3594044,"R$ 0,00",,N,,0,,,,,,
MASSAS DA CASA,NHOQUE C/ CARNE DE SOL DESFIADA (ESCOLHA: SUGO OU BECHAMEL),3594042,"R$ 0,00",,N,,0,,,,,,
MASSAS DA CASA,NHOQUE DE CAMARÃO AO MOLHO (ESCOLHA: SUGO OU QUEIJO),3594045,"R$ 0,00",,N,,0,,,,,,
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SUA MASSA,1,1,1,(COMP) MASSA: FARFALLE,,3594061,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SUA MASSA,1,1,1,(COMP) MASSA: FUSILLI,,3594062,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SUA MASSA,1,1,1,(COMP) MASSA: PENNE,,3594059,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SUA MASSA,1,1,1,(COMP) MASSA: SPAGHETTI,,3594063,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SUA MASSA,1,1,1,(COMP) MASSA: TALHARIM,,3594060,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,REFOGAR COM,2,1,1,(COMP) REFOGAR: AZEITE,,3594067,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,REFOGAR COM,2,1,1,(COMP) REFOGAR: MANTEIGA,,3594068,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,SALTEAR COM,3,1,1,(COMP) SALTEAR: ALHO,,3594070,"R$ 1,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,SALTEAR COM,3,1,1,(COMP) SALTEAR: CEBOLA,,3594069,"R$ 1,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,SALTEAR COM,3,1,1,(COMP) SALTEAR: TOMATE,,3594071,"R$ 1,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: ABOBRINHA,,3594072,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: AZEITONA,,3594091,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: BACON,,3594086,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: BOLONHESA,,3594093,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: BRÓCOLIS,,3594073,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: CENOURA,,3594088,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: CHAMPIGNON,,3594085,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: ERVILHA,,3594081,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: FRANGO DESFIADO,,3594079,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: LINGUIÇA CALABRESA,,3594075,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: MILHO VERDE,,3594076,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: MUSSARELA,,3594089,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: OVO DE CODORNA,,3594084,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: PIMENTÃO,,3594087,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: PRESUNTO,,3594082,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: REQUEIJÃO,,3594090,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEUS ITENS,4,1,4,(COMP) ITEM: TOMATE SECO,,3594077,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: ABOBRINHA,,3594072,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: AZEITONA,,3594091,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: BACON,,3594086,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: BOLONHESA,,3594093,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: BRÓCOLIS,,3594073,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: CENOURA,,3594088,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: CHAMPIGNON,,3594085,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: ERVILHA,,3594081,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: FRANGO DESFIADO,,3594079,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: LINGUIÇA CALABRESA,,3594075,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: MILHO VERDE,,3594076,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: MUSSARELA,,3594089,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: OVO DE CODORNA,,3594084,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: PIMENTÃO,,3594087,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: PRESUNTO,,3594082,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: REQUEIJÃO,,3594090,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) ITEM: TOMATE SECO,,3594077,"R$ 4,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) PROTEÍNA EXTRA: CAMARÃO,,3594055,"R$ 10,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) PROTEÍNA EXTRA: CARNE DE SOL DESFIADA,,3594057,"R$ 8,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) PROTEÍNA EXTRA: ISCA DE FILÉ,,3594109,"R$ 8,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) PROTEÍNA EXTRA: POLVO,,3594053,"R$ 12,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAIS DE ITENS,5,0,10,(COMP) PROTEÍNA EXTRA: SALMÃO ASSADO,,3594054,"R$ 10,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEU MOLHO,6,1,1,(COMP) MOLHO: BECHAMEL,,3594098,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEU MOLHO,6,1,1,(COMP) MOLHO: BOLONHESA,,3594096,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEU MOLHO,6,1,1,(COMP) MOLHO: PESTO,,3594097,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEU MOLHO,6,1,1,(COMP) MOLHO: QUEIJO,,3594095,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ESCOLHA SEU MOLHO,6,1,1,(COMP) MOLHO: SUGO,,3594094,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAL DE MOLHO,7,0,10,(COMP) MOLHO: BECHAMEL,,3594098,"R$ 7,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAL DE MOLHO,7,0,10,(COMP) MOLHO: BOLONHESA,,3594096,"R$ 7,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAL DE MOLHO,7,0,10,(COMP) MOLHO: PESTO,,3594097,"R$ 7,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAL DE MOLHO,7,0,10,(COMP) MOLHO: QUEIJO,,3594095,"R$ 7,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,ADICIONAL DE MOLHO,7,0,10,(COMP) MOLHO: SUGO,,3594094,"R$ 7,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,TEMPEROS,8,1,2,(COMP) TEMPERO: COENTRO,,3594101,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,TEMPEROS,8,1,2,(COMP) TEMPERO: ORÉGANO,,3594105,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,TEMPEROS,8,1,2,(COMP) TEMPERO: PÁPRICA DEFUMADA,,3594103,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,TEMPEROS,8,1,2,(COMP) TEMPERO: PIMENTA CALABRESA,,3594106,"R$ 0,00"
MONTE SUA MASSA,MONTE SUA MASSA,3594049,"R$ 40,00",,S,TEMPEROS,8,1,2,(COMP) TEMPERO: SALSA,,3594108,"R$ 0,00"
OPÇÕES,(COMP) ITEM: ABOBRINHA,3594072,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: AZEITONA,3594091,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: BACON,3594086,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: BOLONHESA,3594093,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: BRÓCOLIS,3594073,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: CENOURA,3594088,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: CHAMPIGNON,3594085,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: ERVILHA,3594081,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: FRANGO DESFIADO,3594079,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: LINGUIÇA CALABRESA,3594075,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: MILHO VERDE,3594076,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: MUSSARELA,3594089,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: OVO DE CODORNA,3594084,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: PIMENTÃO,3594087,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: PRESUNTO,3594082,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: REQUEIJÃO,3594090,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) ITEM: TOMATE SECO,3594077,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) MASSA: FARFALLE,3594061,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) MASSA: FUSILLI,3594062,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) MASSA: INTEGRAL,3594065,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) MASSA: PENNE,3594059,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) MASSA: SPAGHETTI,3594063,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) MASSA: TALHARIM,3594060,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) MOLHO: BECHAMEL,3594098,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) MOLHO: BOLONHESA,3594096,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) MOLHO: PESTO,3594097,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) MOLHO: QUEIJO,3594095,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) MOLHO: SUGO,3594094,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) PROTEÍNA EXTRA: CAMARÃO,3594055,"R$ 10,00",,N,,0,,,,,,
OPÇÕES,(COMP) PROTEÍNA EXTRA: CARNE DE SOL DESFIADA,3594057,"R$ 8,00",,N,,0,,,,,,
OPÇÕES,(COMP) PROTEÍNA EXTRA: ISCA DE FILÉ,3594109,"R$ 8,00",,N,,0,,,,,,
OPÇÕES,(COMP) PROTEÍNA EXTRA: POLVO,3594053,"R$ 12,00",,N,,0,,,,,,
OPÇÕES,(COMP) PROTEÍNA EXTRA: SALMÃO ASSADO,3594054,"R$ 10,00",,N,,0,,,,,,
OPÇÕES,(COMP) REFOGAR: AZEITE,3594067,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) REFOGAR: MANTEIGA,3594068,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) SALTEAR: ALHO,3594070,"R$ 1,00",,N,,0,,,,,,
OPÇÕES,(COMP) SALTEAR: CEBOLA,3594069,"R$ 1,00",,N,,0,,,,,,
OPÇÕES,(COMP) SALTEAR: TOMATE,3594071,"R$ 1,00",,N,,0,,,,,,
OPÇÕES,(COMP) TEMPERO: COENTRO,3594101,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) TEMPERO: ORÉGANO,3594105,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) TEMPERO: PÁPRICA DEFUMADA,3594103,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) TEMPERO: PIMENTA CALABRESA,3594106,"R$ 0,00",,N,,0,,,,,,
OPÇÕES,(COMP) TEMPERO: SALSA,3594108,"R$ 0,00",,N,,0,,,,,,
RISOTOS DA CASA,RISOTO CAPRESE (TOMATE CEREJA E MANJERICÃO),3594120,"R$ 0,00",,N,,0,,,,,,
RISOTOS DA CASA,RISOTO DE CAMARÃO,3594111,"R$ 0,00",,N,,0,,,,,,
RISOTOS DA CASA,RISOTO DE CARNE DE SOL,3594112,"R$ 0,00",,N,,0,,,,,,
RISOTOS DA CASA,RISOTO DE FILÉ AO MOLHO MADEIRA,3594121,"R$ 0,00",,N,,0,,,,,,
RISOTOS DA CASA,RISOTO DE POLVO,3594117,"R$ 0,00",,N,,0,,,,,,
RISOTOS DA CASA,RISOTO DE SALMÃO,3594118,"R$ 0,00",,N,,0,,,,,,
RISOTOS DA CASA,RISOTO FUNGHI,3594110,"R$ 0,00",,N,,0,,,,,,
RISOTOS DA CASA,"RISOTO MIX DO MAR (MEXILHÃO, POLVO E CAMARÃO)",3594113,"R$ 0,00",,N,,0,,,,,,
RISOTOS DA CASA,RISOTO TOSCANA,3594115,"R$ 0,00",,N,,0,,,,,,
RISOTOS DA CASA,"RISOTO VEGETARIANO (BRÓCOLIS, CENOURA E ABOBRINHA)",3594116,"R$ 0,00",,N,,0,,,,,,
SOBREMESA DA CASA,BOLO NO POTE: BRIGADEIRO C/ BEIJINHO,3594124,"R$ 0,00",,N,,0,,,,,,
SOBREMESA DA CASA,BOLO NO POTE: NATA C/ MORANGO,3594122,"R$ 0,00",,N,,0,,,,,,
SOBREMESA DA CASA,BOLO NO POTE: NUTELLA C/ NINHO,3594123,"R$ 0,00",,N,,0,,,,,,